Season,Episode,Game,Round,A or B,Question,Contestant,Contestant Answer,Panelist 1,Panelist 1 Answer,Panelist 1 Matched,Panelist 2,Panelist 2 Answer,Panelist 2 Matched,Panelist 3,Panelist 3 Answer,Panelist 3 Matched,Panelist 4,Panelist 4 Answer,Panelist 4 Matched,Panelist 5,Panelist 5 Answer,Panelist 5 Matched,Panelist 6,Panelist 6 Answer,Panelist 6 Matched
73,50,69,tie1,B,Name a cold drink.,Sandy Simmons,lemonade,Bobby Van,coke,no,Elaine Joyce,ice water,no,Charles Nelson Reilly,iced tea,no,Brett Somers,a martini on the rocks,no,,,,,,
73,50,70,1,B,"The hotel clerk gulped when he saw that the name on the register read, ""Harry and his trained blanks.""",Jennifer Wilkins,dogs,Bobby Van,seals,no,Elaine Joyce,fleas,no,Charles Nelson Reilly,seals,no,Brett Somers,seals,no,Richard Dawson,seals,no,Nanette Fabray,seals,no
73,50,70,1,A,"Whenever Sally feels romantic, her blank starts to wiggle.",Beverly Ventimiglia,bottom,Bobby Van,behind,yes,Elaine Joyce,nose,no,Charles Nelson Reilly,nose,no,Brett Somers,behind,yes,Richard Dawson,ears,no,Nanette Fabray,nose,no
73,51,70,2,A,Harry the lion tamer lost his blank.,Jennifer Wilkins,chair,Stu Gilliam,head,no,Loretta Swit,head,no,McLean Stevenson,nerve,no,Brett Somers,whip,no,Richard Dawson,head,no,,,
73,51,71,1,A,"The old hen said to the young hen, ""That's not an egg you're sitting on, honey, that's a blank!""",Bruce Jamison,baseball,Stu Gilliam,golf ball,no,Loretta Swit,rooster,no,McLean Stevenson,stone,no,Brett Somers,white doorknob,no,Richard Dawson,eight ball,no,Ann Elder,chick,no
73,51,71,1,B,"Howard's tongue was so long, it got in the way every time he tried to blank.",Beverly Ventimiglia,kiss,Stu Gilliam,shave,no,Loretta Swit,tie his shoelaces,no,McLean Stevenson,spit,no,Brett Somers,kiss somebody,yes,Richard Dawson,whistle,no,Ann Elder,smooch,yes
73,51,71,2,B,"Dr. Welby said, ""Nobody knows this, but I always blank before I operate.""",Bruce Jamison,take a drink,Stu Gilliam,sweat,no,Loretta Swit,kiss elena verdugo,no,McLean Stevenson,spit,no,Brett Somers,wash up,no,Richard Dawson,wash,no,,,
73,52,72,1,B,"Beef is so expensive, Danny swapped his blank for a sirloin steak.",Diane Stewart,bicycle,McLean Stevenson,wife,no,Loretta Swit,car,no,Stu Gilliam,car,no,Brett Somers,virtue,no,Richard Dawson,wife,no,Ann Elder,wife,no
73,52,72,1,A,"Wilbur said, ""My new air conditioner is just too powerful. I woke up this morning with icicles on my blank.""",Beverly Ventimiglia,nose,McLean Stevenson,nose,yes,Loretta Swit,nose,yes,Stu Gilliam,toes and nose,yes,Brett Somers,nose,yes,Richard Dawson,eyebrows,no,Ann Elder,nose,yes
73,52,72,2,A,"Marion said to Joe, ""I came to Hollywood to be an actress, but I ended up being a blank instead.""",Diane Stewart,model,McLean Stevenson,wife,no,Loretta Swit,waitress,no,,,,,,,,,,,,
73,52,73,1,B,Jane accidentally nailed John's blank to the wall.,Sheila Dones,shirt,McLean Stevenson,hand,no,Loretta Swit,hat,no,Stu Gilliam,coat,no,Brett Somers,arm,no,Richard Dawson,tie,no,Ann Elder,mother,no
73,52,73,1,A,"Tom Thumb is so short, he has to climb up a stepladder to blank.",Beverly Ventimiglia,wash,McLean Stevenson,wash,yes,Loretta Swit,wash his hands,yes,Stu Gilliam,spit,no,Brett Somers,go to the bathroom,no,Richard Dawson,eat,no,Ann Elder,brush his tooth,no
73,53,73,2,A,Herman nearly blanked his nose off.,Sheila Dones,shot,McLean Stevenson,blew,no,Loretta Swit,blew,no,Stu Gilliam,blew,no,Brett Somers,blew,no,Richard Dawson,blew,no,,,
73,53,74,1,B,Lorraine was ejected from the movie theater for throwing her blank over the balcony.,Margie Dale,popcorn,McLean Stevenson,husband,no,Loretta Swit,popcorn,yes,Stu Gilliam,cup,no,Brett Somers,coat,no,Richard Dawson,undies,no,Ann Elder,date,no
73,53,74,1,A,"Sally said, ""I went dancing with a guy called Pinocchio last night and got a splinter in my blank.""",Beverly Ventimiglia,shoulder,McLean Stevenson,ear,no,Loretta Swit,neck,no,Stu Gilliam,lip,no,Brett Somers,lip,no,Richard Dawson,neck,no,Ann Elder,nose,no
73,53,74,2,B,"""Oh no!"" cried Harry. ""You just ate Selma, my pet blank!""",Margie Dale,spider,McLean Stevenson,snake,no,,,,Stu Gilliam,frog,no,Brett Somers,snake,no,Richard Dawson,hen,no,Ann Elder,fish,no
73,53,74,2,A,John's a little strange. He sent out engraved invitations to his blank.,Beverly Ventimiglia,party,McLean Stevenson,funeral,no,Loretta Swit,birth,no,Stu Gilliam,operation,no,Brett Somers,wake,no,Richard Dawson,funeral,no,Ann Elder,funeral,no
73,54,75,1,A,"One spy said to the other, ""Be careful about what you say to Marilyn. Her blank is really a microphone.""",Lonnie Stewart,earring,McLean Stevenson,nose,no,Loretta Swit,bra,no,Stu Gilliam,corsage,no,Brett Somers,mouth,no,Richard Dawson,bra,no,Ann Elder,earring,yes
73,54,75,1,B,"The St. Bernard dog said, ""I've got a big problem. I'm helplessly in love with a blank.""",Margie Dale,cat,McLean Stevenson,dachshund,no,Loretta Swit,canary,no,Stu Gilliam,drunk,no,Brett Somers,pussycat,yes,Richard Dawson,rug,no,Ann Elder,poodle,no
73,54,75,2,A,You could tell he was a Martian by his blank.,Lonnie Stewart,color,McLean Stevenson,green face,yes,Loretta Swit,antenna,no,Stu Gilliam,antenna,no,Brett Somers,antenna,no,Richard Dawson,appearance,no,,,
73,54,75,2,B,"Ben said to Charlie, ""Boy, did we have fun last night. Eight of us got into one blank.""",Margie Dale,phone booth,McLean Stevenson,car,no,Loretta Swit,bed,no,Stu Gilliam,bed,no,,,,Richard Dawson,car,no,Ann Elder,telephone booth,yes
73,54,75,tie1,A,"One lady cow said to another, ""Hey, have you seen the handsome new blank?""",Lonnie Stewart,bull,McLean Stevenson,bull,yes,Loretta Swit,stud bull,yes,Stu Gilliam,bull,yes,Brett Somers,milkman,no,Richard Dawson,bull,yes,Ann Elder,milkman,no
73,55,75,tie1,B,"The day after the party, Leonard went back to look for his blank.",Margie Dale,underwear,McLean Stevenson,date,no,Loretta Swit,wife,no,Stu Gilliam,date,no,,,,Richard Dawson,shorts,yes,,,
73,55,76,1,A,"Martin said to Gilda, ""You look perfectly ridiculous with a Band-Aid on your blank.""",Diane Whiting,nose,McLean Stevenson,nose,yes,Loretta Swit,lip,no,Stu Gilliam,nose,yes,Brett Somers,navel,no,Richard Dawson,nose,yes,Ann Elder,nose,yes
73,55,76,1,B,"Little John said to Big John, ""How old do I have to be before I can blank like you?""",Lonnie Stewart,date,McLean Stevenson,talk,no,Loretta Swit,kiss,no,Stu Gilliam,fight,no,Brett Somers,play ball,no,Richard Dawson,swear,no,Ann Elder,shave,no
73,55,76,2,B,"When the young lady screamed, Gil realized he was in the wrong blank.",Diane Whiting,bedroom,,,,Loretta Swit,bed,no,,,,Brett Somers,bedroom,yes,,,,,,
73,55,76,2,A,"At the hippie wedding, the bride and groom wore blank.",Lonnie Stewart,bathing suits,McLean Stevenson,beads,no,Loretta Swit,levis,no,,,,,,,,,,,,
73,56,77,1,A,Molly fed Jake nothing at all but chicken soup until he finally blanked.,Alan Bernard,cackled,Robert Culp,croaked,no,Brett Somers,died,no,Jack Klugman,vomited,no,Jo Ann Pflug,died,no,Richard Dawson,threw up,no,Pat Carroll,converted,no
73,56,77,1,B,"When little Mabel dances with big Wilt, her nose touches his blank.",Diane Whiting,chest,Robert Culp,belt buckle,no,Brett Somers,navel,no,Jack Klugman,belt buckle,no,Jo Ann Pflug,belt buckle,no,Richard Dawson,navel,no,Pat Carroll,belt buckle,no
73,56,77,2,B,"Robinson Crusoe said to Friday, ""We've been on this island together for twenty years. Let's blank.""",Alan Bernard,get married,Robert Culp,build a fire,no,Brett Somers,dance,no,Jack Klugman,get married,yes,Jo Ann Pflug,leave,no,Richard Dawson,get married,yes,Pat Carroll,get out,no
73,56,77,2,A,Herman flew all the way to Brooklyn to look up Janet's blank.,Diane Whiting,phone number,Robert Culp,address,no,Brett Somers,skirt,no,Jack Klugman,address,no,Jo Ann Pflug,sister,no,Richard Dawson,parents,no,,,
73,56,78,1,B,"The morning after the party, Harry said, ""Boy, my mouth tastes like somebody left their blank in it.""",Barbara Schlecht,socks,Robert Culp,shoes,no,Brett Somers,dirty socks,yes,Jack Klugman,glove,no,Jo Ann Pflug,foot,no,Richard Dawson,socks,yes,Pat Carroll,foot,no
73,57,78,1,A,The princess gave the handsome knight the key to her blank.,Alan Bernard,chastity belt,Robert Culp,chastity belt,yes,Brett Somers,heart,no,Jack Klugman,castle,no,Jo Ann Pflug,heart,no,Richard Dawson,kingdom,no,Pat Carroll,chamber,no
73,57,78,2,B,"Albert works at the mint, and today he blanked a million dollars.",Barbara Schlecht,made,Robert Culp,printed,yes,,,,Jack Klugman,stole,no,Jo Ann Pflug,stole,no,,,,Pat Carroll,coined,yes
73,57,78,2,A,"The Eskimo's wife said, ""I'm sorry dear, but you'll have to wait until my blank thaws.""",Alan Bernard,clothes,,,,Brett Somers,igloo,no,Jack Klugman,meat,no,Jo Ann Pflug,hands,no,,,,,,
73,57,79,1,B,"The president said to his new secretary, ""Let me make one thing perfectly clear. I'm only hiring you because you blank so well.""",Kathy Bruce,make love,Robert Culp,cover up,no,Brett Somers,type,no,Jack Klugman,lie,no,Jo Ann Pflug,lie,no,Richard Dawson,bug,no,Pat Carroll,sit,no
73,57,79,1,A,"Mr. Big Shot bragged, ""Fellas, I just insured my wife's blank for a million dollars.""",Barbara Schlecht,body,Robert Culp,diamonds,no,Brett Somers,diamonds,no,Jack Klugman,life,no,Jo Ann Pflug,life,no,Richard Dawson,jewelry,no,Pat Carroll,life,no
73,58,79,2,B,"Kathy said, ""Every girl that went to Larry's New Year's Eve party got blank.""",Kathy Bruce,drunk,Robert Culp,drunk,yes,Brett Somers,bombed,yes,Jack Klugman,drunk,yes,Jo Ann Pflug,a bottle of arpege,no,Richard Dawson,preggie,no,Pat Carroll,kissed,no
73,58,79,2,A,"While the surgeon was operating, he scratched his nose with his blank.",Barbara Schlecht,scalpel,Robert Culp,scalpel,yes,Brett Somers,instrument,no,Jack Klugman,scalpel,yes,Jo Ann Pflug,knife,yes,Richard Dawson,scalpel,yes,,,
73,58,80,1,A,"Once a year, turtles come out of their shells to blank.",Sue Raglan,mate,Robert Culp,lay,no,Brett Somers,mate,yes,Jack Klugman,shed,no,Jo Ann Pflug,mate,yes,Richard Dawson,make love,yes,Pat Carroll,lay eggs,no
73,58,80,1,B,"The astronaut said, ""You've gotta believe me. The girls on Mars are all blank.""",Barbara Schlecht,nymphomaniacs,Robert Culp,in the canals,no,Brett Somers,green,no,Jack Klugman,easy,yes,Jo Ann Pflug,gorgeous,no,Richard Dawson,virgins,no,Pat Carroll,boys,no
73,58,80,2,A,"Wilma said to the invisible man, ""I know you're there. I can tell by your blank.""",Sue Raglan,odor,Robert Culp,breathing,no,,,,Jack Klugman,body odor,yes,,,,,,,Pat Carroll,voice,no
73,59,80,2,B,"The saleslady said, ""What a strange day. Some weirdo wanted a negligee for his blank.""",Barbara Schlecht,self,Robert Culp,boyfriend,no,Brett Somers,boyfriend,no,Jack Klugman,boyfriend,no,,,,,,,,,
73,59,81,1,B,"Andrea said, ""My mother told me I should meet lots of fellas. So I got a job in a blank.""",Barbara Jordan,locker room,Robert Culp,car wash,no,Brett Somers,saloon,no,Jack Klugman,massage parlor,no,Jo Ann Pflug,bar,no,Richard Dawson,massage parlor,no,Pat Carroll,boys school,no
73,59,81,1,A,"Frankenstein's monster said to Igor, ""That stupid doctor put my ear where my blank is supposed to be.""",Sue Raglan,nose,Robert Culp,nose,yes,Brett Somers,eye,no,Jack Klugman,nose,yes,Jo Ann Pflug,nose,yes,Richard Dawson,nose,yes,Pat Carroll,mouth,no
73,59,81,2,B,No one in the office wanted to be the one to tell Marvin he needed a blank.,Barbara Jordan,toupee,Robert Culp,mouthwash,no,Brett Somers,breath spray,no,Jack Klugman,mouthwash,no,,,,,,,,,
73,60,82,1,B,Sir Geoffrey was deathly afraid of getting blank in the jungle.,Mary Morrison,attacked,Robert Culp,malaria,no,Brett Somers,malaria,no,Jack Klugman,malaria,no,Jo Ann Pflug,malaria,no,Richard Dawson,bitten,no,Pat Carroll,malaria,no
73,60,82,1,A,"The lady on the phone snapped, ""Mr. Cohen, at noon tomorrow, we cut off your blank.""",Sue Raglan,telephone,Robert Culp,water,no,Brett Somers,service,no,Jack Klugman,electricity,no,Jo Ann Pflug,electricity,no,Richard Dawson,water,no,Pat Carroll,phone,yes
73,60,82,2,A,"The movie producer said to Jill, ""We're going to shoot this entire movie in blank.""",Mary Morrison,hollywood,Robert Culp,the nude,no,Brett Somers,the nude,no,Jack Klugman,color,no,Jo Ann Pflug,europe,no,Richard Dawson,color,no,Pat Carroll,the nude,no
73,60,83,1,A,"Little Red Riding Hood said to the wolf, ""If you're really my grandmother, show me your blank.""",John Stern,teeth,Robert Culp,teeth,yes,Brett Somers,nightgown,no,Jack Klugman,driver's license,no,Jo Ann Pflug,teeth,yes,Richard Dawson,wedding dress,no,Pat Carroll,teeth,yes
73,60,83,1,B,It was a very cheap airline. The airplane didn't have any blank.,Sue Raglan,seat belts,Robert Culp,seats,no,Brett Somers,wings,no,Jack Klugman,motor,no,Jo Ann Pflug,seats,no,Richard Dawson,motors,no,Pat Carroll,liquor,no
73,60,83,2,A,"Raquel lost all her money in the poker game, so she bet her blank.",John Stern,clothes,,,,Brett Somers,underwear,no,Jack Klugman,jewelry,no,,,,Richard Dawson,ass,no,,,
73,61,83,2,B,Crazy Charlie had his blank pierced.,Sue Raglan,nose,Nipsey Russell,ears,no,Loretta Swit,ears,no,Charles Nelson Reilly,ears,no,Brett Somers,ear,no,,,,,,
73,61,84,1,A,"The movie director said to the stuntman, ""We're going to pay you a lot of money, but you have to dive into a barrel of blank.""",Donna Lee Parrish,water,Nipsey Russell,milk,no,Loretta Swit,snakes,no,Charles Nelson Reilly,manure,no,Brett Somers,fish,no,Richard Dawson,schlitz,no,Betty White,wet cement,no
73,61,84,1,B,"Mark Anthony said, ""Cleopatra has the biggest blank in Egypt.""",John Stern,bosom,Nipsey Russell,barge,no,Loretta Swit,asp,no,Charles Nelson Reilly,barge,no,Brett Somers,rear end,no,Richard Dawson,asp,no,Betty White,barge,no
73,61,84,2,B,"Here's a poem: Roses are red, carnations are pink. Harry got drunk and wound up in the blank.",Donna Lee Parrish,pokey,Nipsey Russell,clink,yes,Loretta Swit,clink,yes,Charles Nelson Reilly,drink,no,Brett Somers,brink,no,Richard Dawson,drink,no,Betty White,clink,yes
73,61,84,2,A,"Business was slow at the funeral parlor, so Seymour decided to rent out one of the blanks.",John Stern,coffins,Nipsey Russell,hearses,no,Loretta Swit,hearses,no,Charles Nelson Reilly,hearse,no,Brett Somers,coffins,yes,Richard Dawson,coffins,yes,Betty White,coffins,yes
73,61,84,tie1,B,"When Jonah was in the whale's stomach, he yelled, ""I'm sick of all these fish! Why don't you swallow a blank?""",Donna Lee Parrish,girl,Nipsey Russell,seal,no,Loretta Swit,cow,no,Charles Nelson Reilly,cupcake,no,Brett Somers,bottle of bourbon,no,Richard Dawson,bull,no,Betty White,steak,no
73,62,84,tie1,A,"John not only had flat feet, he had a flat blank.",John Stern,tire,Nipsey Russell,head,no,Loretta Swit,head,no,Charles Nelson Reilly,head,no,Brett Somers,head,no,Richard Dawson,head,no,Betty White,head,no
73,62,84,tie2,B,"Jane said to Bill, ""If you've just come from the office, why do you reek of blank?""",Donna Lee Parrish,liquor,Nipsey Russell,perfume,no,Loretta Swit,perfume,no,Charles Nelson Reilly,perfume,no,Brett Somers,perfume,no,Richard Dawson,liquor,yes,Betty White,perfume,no
73,62,84,tie2,A,Amanda loved to ride her bicycle. But it made her blank ache.,John Stern,backside,Nipsey Russell,legs,no,Loretta Swit,spine,no,Charles Nelson Reilly,seat,yes,Brett Somers,back,no,Richard Dawson,legs,no,Betty White,fanny,yes
73,62,85,1,B,Rumor has it that the Three Musketeers all share the same blank.,Kathy Carelias,bed,Nipsey Russell,bed,yes,Loretta Swit,bed,yes,Charles Nelson Reilly,broad,no,Brett Somers,bed,yes,Richard Dawson,hairdresser,no,Betty White,girl,no
73,62,85,1,A,"Janet laughed so hard at the comedy, she blanked.",John Stern,cried,Nipsey Russell,cried,yes,Loretta Swit,popped a button,no,Charles Nelson Reilly,cried,yes,Brett Somers,belched,no,Richard Dawson,ached,no,Betty White,cried,yes
73,62,85,2,B,"Most people don't know this, but Buffalo Bill got his name because he blanked like a buffalo.",Kathy Carelias,smelled,,,,,,,Charles Nelson Reilly,smelled,yes,,,,Richard Dawson,looked,no,Betty White,smelled,yes
73,62,85,2,A,"Mary said, ""I wish John wouldn't hum Stars and Stripes Forever while we're blanking.""",John Stern,kissing,,,,Loretta Swit,kissing,yes,,,,Brett Somers,making love,no,Richard Dawson,loving,no,,,
73,63,86,1,B,Arnold's blank is attached with Scotch tape.,Rosemarie Salas,hair,Nipsey Russell,toupee,yes,Loretta Swit,hairpiece,yes,Charles Nelson Reilly,fender,no,Brett Somers,nose,no,Richard Dawson,wig,yes,Betty White,mustache,no
73,63,86,1,A,"Snow White said, ""My seven little dwarves have seven little blanks.""",Kathy Carelias,beds,Nipsey Russell,beards,no,Loretta Swit,girls,no,Charles Nelson Reilly,beds,yes,Brett Somers,dwarves,no,Richard Dawson,beds,yes,Betty White,beds,yes
73,63,86,2,B,The first thing Michelle did after she inherited a million dollars was get rid of her blank.,Rosemarie Salas,husband,,,,,,,Charles Nelson Reilly,big nose,no,Brett Somers,husband,yes,,,,Betty White,husband,yes
73,63,86,2,A,"Gloria said, ""I needed some extra money, so I sold my blank.""",Kathy Carelias,jewelry,Nipsey Russell,car,no,Loretta Swit,ring,no,,,,,,,,,,,,
73,64,87,1,B,Frank came home and found a midget in his wife's blank.,Tamira Cook,skirt,Nipsey Russell,closet,no,Loretta Swit,bed,no,Charles Nelson Reilly,bed,no,Brett Somers,drawers,no,Richard Dawson,undies,no,Betty White,closet,no
73,64,87,1,A,"The teacher said to her pupils, ""If you want to grow up to be president, you'd better study blank.""",Rosemarie Salas,hard,Nipsey Russell,history,no,Loretta Swit,history,no,Charles Nelson Reilly,history,no,Brett Somers,lying,no,Richard Dawson,wiretapping,no,Betty White,law,no
73,64,87,2,B,"The queen warned the princess, ""Honey, you must never kiss a frog on the blank.""",Tamira Cook,mouth,Nipsey Russell,warts,no,Loretta Swit,lips,yes,Charles Nelson Reilly,hot lips,yes,Brett Somers,mouth,yes,Richard Dawson,lips,yes,Betty White,first date,no
73,64,87,2,A,The train conductor punched John's blank instead of his ticket.,Rosemarie Salas,nose,Nipsey Russell,mouth,no,Loretta Swit,tie,no,Charles Nelson Reilly,nose,yes,Brett Somers,nose,yes,Richard Dawson,nose,yes,Betty White,hand,no
73,64,88,1,B,"Charlie said, ""I'm off to Dallas to marry a lady with one of the biggest blanks in Texas.""",Diane Babbin,bosoms,Nipsey Russell,ranches,no,Loretta Swit,ranches,no,Charles Nelson Reilly,ranches,no,Brett Somers,fortunes,no,Richard Dawson,spreads,no,Betty White,spreads,no
73,64,88,1,A,"Peter Pan said to Captain Hook, ""With that hook of yours, you should have no trouble getting a job as a blank.""",Tamira Cook,hooker,Nipsey Russell,fisherman,no,Loretta Swit,bouncer,no,Charles Nelson Reilly,longshoreman,no,Brett Somers,hooker,yes,Richard Dawson,coat hanger,no,Betty White,shoe salesman,no
73,65,88,2,B,"Mrs. Houdini yelled, ""Harry, if you're such a great escape artist, how come you're stuck in the blank?""",Diane Babbin,bathroom,Nipsey Russell,bathroom,yes,Loretta Swit,closet,no,Charles Nelson Reilly,john,yes,Brett Somers,trunk,no,Richard Dawson,toidy,yes,Betty White,john,yes
73,65,88,2,A,"The Lone Ranger whispered to Tonto, ""Actually, I wear this mask because I'm blank.""",Tamira Cook,ugly,Nipsey Russell,ugly,yes,Loretta Swit,a girl,no,Charles Nelson Reilly,homely,yes,,,,Richard Dawson,shy,no,Betty White,nearsighted,no
73,65,89,1,A,"When the police broke into Dr. Jekyll's lab at three in the morning, they found him blanking in the closet.",Nancy Cummins,smoking,Nipsey Russell,changing,no,Loretta Swit,hiding,no,Charles Nelson Reilly,hiding,no,Brett Somers,hiding,no,Richard Dawson,hiding,no,Betty White,panting,no
73,65,89,1,B,"Jack said, ""That was some party last night. Seventeen sailors, and one blank girl.""",Diane Babbin,nude,Nipsey Russell,nude,yes,Loretta Swit,naked,yes,Charles Nelson Reilly,swinging,no,Brett Somers,naked,yes,Richard Dawson,willing,no,Betty White,single,no
73,65,89,2,B,"The old vaudevillain said, ""I once had to share my dressing room with a blank.""",Nancy Cummins,dog,Nipsey Russell,dog,yes,Loretta Swit,dog act,yes,Charles Nelson Reilly,elephant,no,Brett Somers,stripper,no,Richard Dawson,seal,no,Betty White,mule,no
73,66,90,1,B,"Don said to the waiter, ""What's this fly doing in my soup?"" and the waiter said, ""Take a look, he's blanking.""",Kathy Stone,swimming,Bert Convy,swimming,yes,Brett Somers,drinking it,no,Nipsey Russell,swimming,yes,Mary Ann Mobley,swimming,yes,Richard Dawson,drowning,no,Ann Elder,swimming,yes
73,66,90,1,A,The nearsighted cowboy accidentally branded his blank.,Diane Babbin,leg,Bert Convy,arse,no,Brett Somers,wife,no,Nipsey Russell,horse,no,Mary Ann Mobley,fanny,no,Richard Dawson,ass,no,Ann Elder,leg,yes
73,66,90,2,B,"After the game, the pretty cheerleader blanked the whole football team.",Kathy Stone,kissed,,,,Brett Somers,kissed,yes,,,,,,,Richard Dawson,kissed,yes,,,
73,66,90,2,A,"One performing seal said to the other, ""I don't care if I never see another blank as long as I live.""",Diane Babbin,fish,Bert Convy,ball,no,,,,Nipsey Russell,ball,no,,,,,,,,,
73,67,91,1,A,"The president said, ""Let me make one thing perfectly clear. At this year's White House masquerade party, I don't want anybody dressed up as blank.""",Robert Spencer Jr.,jackasses,Bert Convy,bug,no,Brett Somers,a statesman,no,Nipsey Russell,a senator,no,Mary Ann Mobley,sam ervin,no,Richard Dawson,bug,no,Ann Elder,senator ervin,no
73,67,91,1,B,"Sarah said, ""Just because Marvin is blank, it doesn't mean he's not a nice person.""",Kathy Stone,ugly,Bert Convy,a pervert,no,Brett Somers,a drunk,no,Nipsey Russell,stupid,no,Mary Ann Mobley,drunk,no,Richard Dawson,aroused,no,Ann Elder,a sissy,no
73,67,91,2,A,"Frank said, ""I've really got my wife trained. I ring a bell and she blanks.""",Robert Spencer Jr.,jumps,Bert Convy,disrobes,no,Brett Somers,jumps,yes,Nipsey Russell,eats the avon lady,no,Mary Ann Mobley,brings my slippers,no,Richard Dawson,comes,no,Ann Elder,attacks me,no
73,67,91,2,B,All of Sally's muscles are in her blank.,Kathy Stone,legs,Bert Convy,head,no,Brett Somers,calves,yes,Nipsey Russell,head,no,Mary Ann Mobley,head,no,Richard Dawson,derriere,no,Ann Elder,head,no
73,67,91,tie1,A,"Henry the traveling salesman said, ""Hello, room service? Send up a blank quick!""",Robert Spencer Jr.,woman,Bert Convy,broad,yes,Brett Somers,chick,yes,Nipsey Russell,girl,yes,Mary Ann Mobley,broad,yes,Richard Dawson,room,no,Ann Elder,room,no
73,67,91,tie1,B,You can always tell a Texan by the way he blanks.,Kathy Stone,walks,Bert Convy,talks,no,Brett Somers,talks,no,Nipsey Russell,talks,no,,,,,,,,,
73,68,92,1,B,Harry had to buy an extra large bed to make room for his extra large blank.,Loretta Savory,wife,Bert Convy,wife,yes,Brett Somers,wife,yes,Nipsey Russell,feet,no,Mary Ann Mobley,wife,yes,Richard Dawson,wife,yes,Ann Elder,wife,yes
73,68,92,1,A,"George had done almost everything, but he had never been to a blank in his life.",Robert Spencer Jr.,orgy,Bert Convy,house of ill repute,no,Brett Somers,strip joint,no,Nipsey Russell,nudist camp,no,Mary Ann Mobley,clambake,no,Richard Dawson,orgy,yes,Ann Elder,orgy,yes
73,68,92,2,B,"Patricia said, ""For some reason, Carl likes to put on a blindfold before he blanks.""",Loretta Savory,goes to sleep,,,,,,,Nipsey Russell,flies,no,,,,,,,,,
73,68,92,2,A,"Napoleon said, ""I keep my hand inside my lapel so I can hold on to my blank.""",Robert Spencer Jr.,pants,Bert Convy,pants,yes,Brett Somers,suspenders,no,Nipsey Russell,gun,no,,,,,,,,,
73,68,93,1,B,"Waldo said to the talent scout, ""I have a really fantastic act. I can hang by my blank.""",Joyce Nunley,toes,Bert Convy,tongue,no,Brett Somers,toes,yes,Nipsey Russell,toes,yes,Mary Ann Mobley,toes,yes,Richard Dawson,eyelashes,no,Ann Elder,toes,yes
73,69,93,1,A,"The salesman yelled, ""Hey Noah! With all the animals you've got up there on that ark, I bet you could use a blank!""",Loretta Savory,shovel,Bert Convy,shovel,yes,Brett Somers,big cloth,no,Nipsey Russell,air refresher,no,Mary Ann Mobley,shovel,yes,Richard Dawson,sandbox,no,Ann Elder,kitty box,no
73,69,93,2,A,"On his way home from Europe, Steve stopped in Denmark to change blank.",Joyce Nunley,his sex,Bert Convy,sex,yes,,,,,,,,,,Richard Dawson,his sex,yes,,,
73,69,93,2,B,"The old lady who lived in a shoe said, ""Now that all the kids are gone, I think I'll move into a blank.""",Loretta Savory,sandal,,,,Brett Somers,apartment,no,Nipsey Russell,slipper,no,,,,,,,,,
73,69,94,1,B,"Count Dracula said, ""I've given up biting girls' necks. Now I bite blanks.""",Johanna Sartori,arms,Bert Convy,men's,no,Brett Somers,boys,no,Nipsey Russell,dogs,no,Mary Ann Mobley,arms,yes,Richard Dawson,boys,no,Ann Elder,feet,no
73,69,94,1,A,"Henry said, ""Doc, I keep having this dream that my wife turns into a blank.""",Joyce Nunley,man,Bert Convy,animal,no,Brett Somers,dog,no,Nipsey Russell,lover,no,Mary Ann Mobley,witch,no,Richard Dawson,pumpkin,no,Ann Elder,man,yes
73,69,94,2,B,"The 102-year-old man said, ""I haven't had a blank in 83 years.""",Johanna Sartori,drink,Bert Convy,drink,yes,Brett Somers,drink,yes,Nipsey Russell,drink,yes,,,,Richard Dawson,affair,no,Ann Elder,drink,yes
73,70,94,2,A,"Poor Fred. While trying to get something out of the blank, he fell in.",Joyce Nunley,toilet,Bert Convy,freezer,no,Brett Somers,larder,no,Nipsey Russell,toilet,yes,,,,Richard Dawson,well,no,,,
73,70,95,1,B,"Toulouse-Lautrec said, ""I wish I was taller. I'm really tired of looking at people's blanks.""",Rita Rossler,navels,Bert Convy,belly buttons,yes,Brett Somers,thighs,no,Nipsey Russell,navels,yes,Mary Ann Mobley,knees,no,Richard Dawson,behinds,no,Ann Elder,knees,no
73,70,95,1,A,Arthur couldn't get into the army because he was blank.,Johanna Sartori,too young,Bert Convy,gay,no,Brett Somers,dancer,no,Nipsey Russell,blind drunk,no,Mary Ann Mobley,flat footed,no,Richard Dawson,gay,no,Ann Elder,sissy-ish,no
73,70,95,2,B,Walter told the mermaid she had the prettiest blank he had ever seen.,Rita Rossler,tail,,,,Brett Somers,tail,yes,,,,Mary Ann Mobley,tail,yes,Richard Dawson,tail,yes,Ann Elder,tail,yes
73,70,95,2,A,"Elmer the elephant said, ""I'm a little concerned about my honeymoon. You see, I'm marrying a blank.""",Johanna Sartori,mouse,Bert Convy,mouse,yes,Brett Somers,monkey,no,Nipsey Russell,mouse,yes,Mary Ann Mobley,mouse,yes,,,,Ann Elder,mouse,yes
73,71,96,1,A,"Little Johnny was so angry at his mother, he made Jell-O in her blank.",Tom Schultz,pot,Pat Harrington,hair dryer,no,Brett Somers,oven,no,Charles Nelson Reilly,purse,no,Jo Ann Pflug,new hat,no,Richard Dawson,bra,no,Betty White,hat,no
