Season,Episode,Game,Round,Question,Question Text,Contestant ID,Contestant Answer,Panelist 1 Answer,Panelist 1 Matched,Panelist 2 Answer,Panelist 2 Matched,Panelist 3 Answer,Panelist 3 Matched,Panelist 4 Answer,Panelist 4 Matched,Panelist 5 Answer,Panelist 5 Matched,Panelist 6 Answer,Panelist 6 Matched,Alternate Panelist,Alternate Panelist Position,Notes
73,64,87,2,B,"The queen warned the princess, ""Honey, you must never kiss a frog on the blank.""",89,mouth,warts,no,lips,yes,hot lips,yes,mouth,yes,lips,yes,first date,no,,,
73,64,87,2,A,The train conductor punched John's blank instead of his ticket.,88,nose,mouth,no,tie,no,nose,yes,nose,yes,nose,yes,hand,no,,,
73,64,88,1,B,"Charlie said, ""I'm off to Dallas to marry a lady with one of the biggest blanks in Texas.""",90,bosoms,ranches,no,ranches,no,ranches,no,fortunes,no,spreads,no,spreads,no,,,
73,64,88,1,A,"Peter Pan said to Captain Hook, ""With that hook of yours, you should have no trouble getting a job as a blank.""",89,hooker,fisherman,no,bouncer,no,longshoreman,no,hooker,yes,coat hanger,no,shoe salesman,no,,,
73,65,88,2,B,"Mrs. Houdini yelled, ""Harry, if you're such a great escape artist, how come you're stuck in the blank?""",90,bathroom,bathroom,yes,closet,no,john,yes,trunk,no,toidy,yes,john,yes,,,
73,65,88,2,A,"The Lone Ranger whispered to Tonto, ""Actually, I wear this mask because I'm blank.""",89,ugly,ugly,yes,a girl,no,homely,yes,,,shy,no,nearsighted,no,,,
73,65,89,1,A,"When the police broke into Dr. Jekyll's lab at three in the morning, they found him blanking in the closet.",91,smoking,changing,no,hiding,no,hiding,no,hiding,no,hiding,no,panting,no,,,
73,65,89,1,B,"Jack said, ""That was some party last night. Seventeen sailors, and one blank girl.""",90,nude,nude,yes,naked,yes,swinging,no,naked,yes,willing,no,single,no,,,
73,65,89,2,B,"The old vaudevillain said, ""I once had to share my dressing room with a blank.""",91,dog,dog,yes,dog act,yes,elephant,no,stripper,no,seal,no,mule,no,,,
73,66,90,1,B,"Don said to the waiter, ""What's this fly doing in my soup?"" and the waiter said, ""Take a look, he's blanking.""",92,swimming,swimming,yes,drinking it,no,swimming,yes,swimming,yes,drowning,no,swimming,yes,,,
73,66,90,1,A,The nearsighted cowboy accidentally branded his blank.,90,leg,arse,no,wife,no,horse,no,fanny,no,ass,no,leg,yes,,,
73,66,90,2,B,"After the game, the pretty cheerleader blanked the whole football team.",92,kissed,,,kissed,yes,,,,,kissed,yes,,,,,
73,66,90,2,A,"One performing seal said to the other, ""I don't care if I never see another blank as long as I live.""",90,fish,ball,no,,,ball,no,,,,,,,,,
73,67,91,1,A,"The president said, ""Let me make one thing perfectly clear. At this year's White House masquerade party, I don't want anybody dressed up as blank.""",93,jackasses,bug,no,a statesman,no,a senator,no,sam ervin,no,bug,no,senator ervin,no,,,
73,67,91,1,B,"Sarah said, ""Just because Marvin is blank, it doesn't mean he's not a nice person.""",92,ugly,a pervert,no,a drunk,no,stupid,no,drunk,no,aroused,no,a sissy,no,,,
73,67,91,2,A,"Frank said, ""I've really got my wife trained. I ring a bell and she blanks.""",93,jumps,disrobes,no,jumps,yes,eats the avon lady,no,brings my slippers,no,comes,no,attacks me,no,,,
73,67,91,2,B,All of Sally's muscles are in her blank.,92,legs,head,no,calves,yes,head,no,head,no,derriere,no,head,no,,,
73,67,91,tie1,A,"Henry the traveling salesman said, ""Hello, room service? Send up a blank quick!""",93,woman,broad,yes,chick,yes,girl,yes,broad,yes,room,no,room,no,,,
73,67,91,tie1,B,You can always tell a Texan by the way he blanks.,92,walks,talks,no,talks,no,talks,no,,,,,,,,,
73,68,92,1,B,Harry had to buy an extra large bed to make room for his extra large blank.,94,wife,wife,yes,wife,yes,feet,no,wife,yes,wife,yes,wife,yes,,,
73,68,92,1,A,"George had done almost everything, but he had never been to a blank in his life.",93,orgy,house of ill repute,no,strip joint,no,nudist camp,no,clambake,no,orgy,yes,orgy,yes,,,
73,68,92,2,B,"Patricia said, ""For some reason, Carl likes to put on a blindfold before he blanks.""",94,goes to sleep,,,,,flies,no,,,,,,,,,
73,68,92,2,A,"Napoleon said, ""I keep my hand inside my lapel so I can hold on to my blank.""",93,pants,pants,yes,suspenders,no,gun,no,,,,,,,,,
73,68,93,1,B,"Waldo said to the talent scout, ""I have a really fantastic act. I can hang by my blank.""",95,toes,tongue,no,toes,yes,toes,yes,toes,yes,eyelashes,no,toes,yes,,,
73,69,93,1,A,"The salesman yelled, ""Hey Noah! With all the animals you've got up there on that ark, I bet you could use a blank!""",94,shovel,shovel,yes,big cloth,no,air refresher,no,shovel,yes,sandbox,no,kitty box,no,,,
73,69,93,2,A,"On his way home from Europe, Steve stopped in Denmark to change blank.",95,his sex,sex,yes,,,,,,,his sex,yes,,,,,
73,69,93,2,B,"The old lady who lived in a shoe said, ""Now that all the kids are gone, I think I'll move into a blank.""",94,sandal,,,apartment,no,slipper,no,,,,,,,,,
73,69,94,1,B,"Count Dracula said, ""I've given up biting girls' necks. Now I bite blanks.""",96,arms,men's,no,boys,no,dogs,no,arms,yes,boys,no,feet,no,,,
73,69,94,1,A,"Henry said, ""Doc, I keep having this dream that my wife turns into a blank.""",95,man,animal,no,dog,no,lover,no,witch,no,pumpkin,no,man,yes,,,
73,69,94,2,B,"The 102-year-old man said, ""I haven't had a blank in 83 years.""",96,drink,drink,yes,drink,yes,drink,yes,,,affair,no,drink,yes,,,
73,70,94,2,A,"Poor Fred. While trying to get something out of the blank, he fell in.",95,toilet,freezer,no,larder,no,toilet,yes,,,well,no,,,,,
73,70,95,1,B,"Toulouse-Lautrec said, ""I wish I was taller. I'm really tired of looking at people's blanks.""",97,navels,belly buttons,yes,thighs,no,navels,yes,knees,no,behinds,no,knees,no,,,
73,70,95,1,A,Arthur couldn't get into the army because he was blank.,96,too young,gay,no,dancer,no,blind drunk,no,flat footed,no,gay,no,sissy-ish,no,,,
73,70,95,2,B,Walter told the mermaid she had the prettiest blank he had ever seen.,97,tail,,,tail,yes,,,tail,yes,tail,yes,tail,yes,,,
73,70,95,2,A,"Elmer the elephant said, ""I'm a little concerned about my honeymoon. You see, I'm marrying a blank.""",96,mouse,mouse,yes,monkey,no,mouse,yes,mouse,yes,,,mouse,yes,,,
73,71,96,1,A,"Little Johnny was so angry at his mother, he made Jell-O in her blank.",98,pot,hair dryer,no,oven,no,purse,no,new hat,no,bra,no,hat,no,,,
73,71,96,1,B,"Confucius say, ""Old man who marry young girl better take blank on honeymoon.""",97,vitamins,stand-in,no,a friend,no,playboy magazine,no,vitamins,yes,understudy,no,good book,no,,,
73,71,96,2,B,"The gangster said, ""Well, if you decide not to take the insurance, your blank may suddenly disappear.""",98,wife,wife,yes,life,no,wife,yes,wife,yes,wife,yes,wife,yes,,,
73,71,96,2,A,Tony is such a busy man he even blanks standing up.,97,sleeps,sleeps,yes,eats,no,eats,no,eats,no,eats,no,eats,no,,,
73,71,97,1,A,Sherlock Holmes took out his magnifying glass to look at Watson's blank.,99,mustache,pimple,no,pimple,no,wallet,no,wound,no,nose,no,nose,no,,,
73,72,97,1,B,"Rin-Tin-Tin is so rich, he has his own blank in his dressing room.",98,bathroom,bone,no,side of beef,no,hydrant,no,dog bone,no,tree,no,tree,no,,,
73,72,97,2,A,"Jill said to Jim, ""If you're not drunk, how come you're sleeping in the blank?""",99,nude,fireplace,no,front yard,no,bathtub,no,car,no,closet,no,bathtub,no,,,
73,72,97,2,B,"One turtle said to the other, ""You know, for a turtle, you're really very blank.""",98,fast,horny,no,cute,no,cute,no,pretty,no,fast,yes,,,,,
73,72,98,1,A,"Did you hear about the new presidential cuckoo clock? Every hour on the hour, a little president comes out and blanks.",100,listens,i don't know,no,not me,no,watergates,no,lies,no,tapes your conversation,no,cries,no,,,
73,72,98,1,B,"When Bruce joined the nudist colony, he was so shy that he carried a blank in front of him all the time.",98,towel,arrow,no,magazine,no,bible,no,book,no,briefcase,no,newspaper,no,,,
73,73,98,2,B,"Tarzan screamed, ""Who blanked my vine?""",100,took,greased,no,broke,no,stole,yes,stole,yes,greased,no,ate,no,,,
73,73,98,2,A,"Alex said to Shirley, ""I love to watch you blank.""",98,sleep,dress,no,bathe,no,dance,no,dance,no,bathe,no,laugh,no,,,
73,73,99,1,A,"Dumb Dora said, ""I didn't know Kung Fu was a TV show. I always thought it was a blank.""",101,food,main course,no,chinese person,no,egg roll,no,chinese dish,yes,meal,yes,chinese food,yes,,,
73,73,99,1,B,"Margaret said, ""It's hard to blank with a girdle on.""",100,make love,pinch yourself,no,go to the john,no,dance,no,sit,no,high jump,no,bend over,no,,,
73,73,99,2,A,"The sword swallower lost his sword, so he swallowed his blank.",101,pocket knife,sheath,no,cane,no,broom,no,,,,,,,,,
73,73,99,2,B,Pinocchio was petrified to find out his blank had termites.,100,nose,nose,yes,nose,yes,nose,yes,nose,yes,nose,yes,nose,yes,,,
73,74,100,1,B,Herbert doesn't have to worry about the beef shortage. His wife is a blank.,102,vegetarian,cow,no,pig,no,fisherman,no,butcher,no,cow,no,cow,no,,,
73,74,100,1,A,The admiral likes to play with his blank in the bathtub.,100,toys,heavy cruiser,no,rubber duck,no,rubber duck,no,boat,no,dinghy,no,rubber duck,no,,,
73,74,100,2,B,"Adam said to Eve, ""You're the only person I've ever blanked.""",102,shared an apple with,washed,no,loved,no,kissed,no,loved,no,loved,no,seen,no,,,
73,74,100,2,A,"Mr. Sears said, ""I'm the only one who knows this, but Mr. Roebuck got his blank from a catalog.""",100,clothes,teeth,no,wife,no,suit,yes,wife,no,wife,no,wife,no,,,
73,74,101,1,A,"Jack said to his wife, ""What a nightmare. I dreamed I was on a desert island and the only other person was blank.""",103,your mother,your mother,yes,you,no,you,no,clark kent,no,charles nelson reilly,no,your mother,yes,,,
73,74,101,1,B,"The captain of the firing squad said, ""Is there one last thing you would like?"" and Pierre said, ""Yes, a blank.""",100,drink,new start,no,reprieve,no,cigarette,no,cigarette,no,bulletproof vest,no,kiss,no,,,
73,75,101,2,B,Max is so tough he can strike a match on his blank.,103,thigh,,,butt,no,rear,no,thigh,yes,face,no,,,,,
73,75,101,2,A,"Irving said, ""I didn't fill my waterbed with water. I filled it with blank.""",100,air,squirrels,no,gin,no,booze,no,booze,no,antifreeze,no,booze,no,,,
73,75,102,1,B,"Noah's wife said, ""Noah, you'd better get some new glasses. That wasn't me you kissed, that was your blank.""",104,elephant,hippo,no,ark,no,ostrich,no,son,no,bear,no,elephant,yes,,,
73,75,102,1,A,"Mary Beth said to her cowboy husband, ""Don't you think just once you could come to bed without your blank?""",103,horse,horse,yes,horse,yes,horse,yes,horse,yes,spurs,no,spurs,no,,,
73,75,102,2,B,"Elsie the cow said to her girlfriend, ""Have you noticed Farmer Brown's hands are very blank?""",104,callused,rough,yes,rough and hairy,yes,rough,yes,cold,no,cold,no,,,,,
73,75,102,2,A,"The Lone Ranger said, ""Not many people know that Tonto and I are blank.""",103,lovers,,,,,,,,,married,no,brothers,no,,,
73,75,102,tie1,B,"After the party, Mary found John blanking on the sidewalk.",104,throwing up,sleeping,no,throwing up,yes,sleeping,no,sleeping pill,no,sleeping,no,dancing,no,,,
73,76,102,tie1,A,Charles has great luck hitchhiking at night because his blank glows in the dark.,103,suitcase,thumb,no,nose,no,suit,no,suit,no,thumb,no,thumb,no,,,
73,76,103,1,A,Stephanie got blank in her waterbed.,105,wet,sand,no,air,no,holes,no,drowned,no,algae,no,seasick,no,,,
73,76,103,1,B,Bertha was so fat they had to use blank to get her through the revolving door.,104,grease,lard,yes,pushers,no,suction,no,axel grease,yes,grease,yes,pressure,no,,,
73,76,103,2,A,"The Vanderwinkles' guest bathtub is so huge, they put up a sign that said No Blanking.",105,swimming,swimming,yes,vacancies,no,drowning,no,diving,no,swimming,yes,swimming,yes,,,
73,76,103,2,B,"The farmer said, ""I've got a real problem. One of my cows has fallen in love with blank.""",104,me,,,my son,no,my wife,no,,,,,another cow,no,,,
73,76,103,tie1,A,"When John saw the prices on the menu, he whispered to Mary, ""Don't order any blank.""",105,meat,steak,yes,thing,no,dessert,no,food,no,steaks,yes,meat,yes,,,
73,77,103,tie1,B,Tom blanked in the wishing well.,104,spit,tinkled,no,threw up,no,vomited,no,jumped,no,,,,,,,
73,77,104,1,B,"Dr. Welby said, ""Hmm, it appears I've run out of tongue depressors, so if you don't mind, I'll use my blank.""",106,finger,thumb,yes,finger,yes,finger,yes,pencil,no,finger,yes,finger,yes,,,
73,77,104,1,A,Rico won't get anywhere in the crime world because he refuses to blank the Godfather.,105,meet,obey,no,kill,no,kiss,no,read,no,kiss,no,kiss,yes,,,
73,77,104,2,B,"When Dumb Dora looked into the space capsule, she asked, ""Where's the blank?""",106,potty,,,,,,,bathroom,yes,,,,,,,
73,77,104,2,A,"Janet said, ""I'm worried about Henry. Last week he started using my hairspray. This week it's my blank.""",105,makeup,bra,no,,,,,,,,,,,,,
73,78,105,1,B,"Charlie Chan said, ""Let us review clues. Room smell of garlic, tomato stain on body. Conclusion: murder weapon was blank.""",107,knife,pizza,no,pizza wheel,no,spaghetti,no,meatball,no,hard pizza,no,salad fork,no,,,
73,78,105,1,A,Melanie lost her blank on the roller coaster.,106,meal,wig,no,virtue,no,bloomers,no,baby,no,supper,yes,lunch,yes,,,
73,78,105,2,A,"Barbara said, ""My husband has nothing but good luck. Maybe it's because his blank looks like a rabbit's foot.""",107,rear,nose,no,head,no,nose,no,mother,no,nose,no,nose,no,,,
73,78,106,1,B,"Albert invented an amazing talking bathroom scale. When his 300-pound wife got on it, it yelled, ""blank!""",108,wow,help,no,help,no,help,no,ouch,no,uncle,no,ouch,no,,,
73,78,106,1,A,"W.C. Fields said, ""Young man, don't drink that water. Fish blank in it.""",106,swim,make love,no,tinkle,no,make love,no,swim,yes,breed,no,mate,no,,,
73,79,106,2,A,"Tom said, ""Margaret's blank is old and wrinkled.""",108,face,body,no,face,yes,face,yes,neck,no,body,no,body,no,,,
73,79,106,2,B,Mike didn't know he had bought his used car from a gangster until he opened the trunk and found blank.,106,a body,a body,yes,some guns,no,a hood,no,,,a body,yes,a body,yes,,,
73,79,107,1,B,"Before entertaining Toulouse-Lautrec, the countess had her blanks lowered.",109,furniture,chairs,yes,legs,no,floors,no,shoes,no,table,yes,chairs,yes,,,
73,79,107,1,A,"Eve said to Adam, ""Don’t you dare touch my blank.""",106,fig leaf,fig leaf,yes,apple,no,leaf,yes,apple,no,fig leaf,yes,fig leaf,yes,,,
73,79,107,2,B,"The octopus said, ""You can't believe how many blanks I use up in one year.""",109,tentacles,,,tentacles,yes,legs,yes,deodorants,no,,,,,,,
73,79,107,2,A,"Alice said, ""Henry, would you still marry me if I told you I was blank?""",106,pregnant,,,gay,no,,,poor,no,,,,,,,
73,80,108,1,B,"Gary said, ""I hear they're making another one of those wild science fiction movies. In this one, a giant blank eats Los Angeles.""",110,gorilla,bug,no,bug,no,creature,no,apple,no,tomato,no,monster,no,,,
73,80,108,1,A,"The prince said, ""I tried to awaken Sleeping Beauty by kissing her, but that didn't work. So I guess I'll have to blank her.""",109,tickle,goose,no,tickle,yes,shake,no,pinch,no,pinch,no,pinch,no,,,
73,80,108,2,B,"One theater usher said to the other, ""Can you believe I actually found someone's blank under one of the seats?""",110,wife,pants,no,underwear,no,shorts,no,stub,no,undies,no,wife,yes,,,
73,80,108,2,A,"When James Bond was in spy school, he got his best marks in blanking.",109,snooping,loving,no,,,shooting,no,shooting,no,undercover work,yes,bugging,no,,,
73,81,109,1,B,"Frank said, ""Doctor, ever since I started sleeping on a waterbed, I dream I'm a blank.""",111,fish,fish,yes,whale,yes,fish,yes,fish,yes,whale,yes,fish,yes,,,
73,81,109,1,A,"Philip's neighbor called and said, ""You'd better go home. Your wife is in bed with the blank.""",109,milkman,virus,no,milkman,yes,doctor,no,fishmonger,no,flu,no,flu,no,,,
73,81,109,2,B,The barber accidentally cut off Fred's blank.,109,nose,ear,no,,,mustache,no,,,,,,,,,
73,81,110,1,B,"A little bird perched on Percy's windowsill, so he blanked it.",112,shot,killed,yes,shot,yes,fed,no,shot,yes,fed,no,fed,no,,,
73,81,110,1,A,"Confucius say, ""He who eat dog food soon begin to chase blank.""",111,cat,cars,no,dogs,no,cats,yes,cars,no,cars,no,cats,yes,,,
73,82,110,2,B,Alex and Shirley got drunk at the party and tried to do the tango in the blank.,112,nude,,,,,nude,yes,,,pool,no,nude,yes,,,
73,82,110,2,A,"Kathy said, ""Marvin's no fun at all. We went to a drive-in movie last night and all he wanted to do was blank.""",111,eat popcorn,neck,no,watch the film,no,,,,,,,,,,,
73,82,111,1,A,"When nearsighted Mr. Magoo walked past the gorilla cage at the zoo, he said, ""Why, young lady, they shouldn't have put you in jail just because you need a blank.""",113,haircut,shave,no,haircut,yes,bath,no,shave,no,shave,no,shave,no,,,
73,82,111,1,B,Kermit always has to hold onto his toupee while he and Hortense are blanking.,112,making love,dancing,no,bowling,no,dancing,no,kissing,no,loving,yes,kissing,no,,,
73,82,111,2,B,"The sultan's fifty wives went on strike, saying, ""We really need more than one blank.""",113,husband,eunuch,no,,,kitchen,no,sultan,yes,man,yes,john,no,,,
73,82,111,2,A,"Cynthia said, ""I don't care what you say. I think King Kong is much blanker than the Jolly Green Giant.""",112,taller,bigger,yes,sexier,no,sexier,no,sexier,no,,,sexier,no,,,
73,83,112,1,B,"One Siamese twin said to the other, ""Okay, while you're on your date with that sailor, I'll just blank.""",114,wait at home,pass,no,get off your back,no,sleep,no,sleep,no,tag along,no,hang around,no,,,
73,83,112,1,A,"The acrobat said, ""You may find this hard to believe, but I blanked my wife on the flying trapeze.""",113,kissed,met,no,swung,no,met,no,married,no,met,no,met,no,,,
73,83,112,2,A,Ellen keeps a blank in her bed to protect her against prowlers.,114,man,revolver,no,man,yes,gun,no,doggie,no,policeman,yes,dog,no,,,
73,83,112,2,B,Norman has an amazing talent. He can dial a phone with his blank.,113,nose,toe,no,finger,no,nose,yes,nose,yes,nose,yes,,,,,
73,84,113,1,A,"Snow White said, ""Actually, there was an eighth dwarf. But we kept him hidden because he was blank.""",115,ugly,normal,no,very tall,no,ugly,yes,dirty,no,too tall,no,wiggy,no,,,
73,84,113,1,B,"Tarzan said to Jane, ""How many times I tell you, do not blank my loin cloth?""",113,wash,starch,no,iron,no,starch,no,snitch,no,starch,no,starch,no,,,
73,84,113,2,A,"George Washington said to Betsy Ross, ""If that flag isn't ready by the Fourth of July, we're gonna run your blank up the pole.""",115,underwear,fanny,no,rump,no,,,drawers,yes,dress,no,dress,no,,,
73,84,113,2,B,"When Robert got home, he was shocked to find that his pet snake had eaten his blank.",113,wife,wife,yes,wife,yes,bird,no,wife,yes,mongoose,no,,,,,
73,84,114,1,A,Marshal Dillon takes Kitty to blank once a week.,116,bed,church,no,dinner,no,church,no,eat,no,lunch,no,church,no,,,
73,85,114,1,B,"Grandma said, ""Grandpa's getting pretty old. Last night, he put his false teeth in my blank.""",113,milk,glass,no,tooth glass,no,glass,no,brassiere,no,bra,no,glass,no,,,
73,85,114,2,A,Bruce had a lot less trouble getting dates after he got rid of his blank.,116,wife,dandruff,no,lisp,no,walk,no,dress,no,lisp,no,pimples,no,,,
73,85,114,2,B,"Dr. Welby said to Pinocchio, ""You don't need a doctor, you need a blank.""",113,girl,carpenter,no,new nose,no,carpenter,no,carpenter,no,carpenter,no,carpenter,no,,,
73,85,114,tie1,A,"Superman said, ""Nobody in the world blanks like me.""",116,flies,flies,yes,flies,yes,flies,yes,flies,yes,flies,yes,flies,yes,,,
73,85,114,tie1,B,"John said, ""Before we were married, Mary and I had a lot more blank.""",113,fun,fun,yes,fun,yes,fun,yes,fun,yes,money,no,fun,yes,,,
73,85,115,1,A,The nearsighted turtle fell in love with a blank.,117,princess,army helmet,no,porcupine,no,helmet,no,rock,no,hairbrush,no,rock,no,,,
73,86,115,1,B,Harriet came home early and caught her husband blanking his teddy bear.,116,hugging,kissing,no,kissing,no,spanking,no,kissing,no,cuddling,yes,sleeping with,no,,,
73,86,115,2,B,"When his fairy godmother sprinkled magic dust on Bruce, he blanked.",117,twinkled,disappeared,no,cried,no,sneezed,no,blushed,no,swished around,no,turned into a frog,no,,,
73,86,116,1,B,"The baker said, ""Have I got a problem! The plumbers' convention is tonight, and they've ordered a cake in the shape of a giant blank.""",118,pipe,john,no,wrench,no,wrench,no,sink,no,toilet bowl,no,septic tank,no,,,
73,86,116,1,A,"Fernando was an unconventional artist. He'd spread a canvas on the floor, throw paint all over it, and then rub his blank in it.",116,nose,nose,yes,body,no,brush,no,face,no,feet,no,cat,no,,,
73,86,116,2,B,"On her first day in New York, Barbara lost her blank on the subway.",118,shirt,purse,no,innocence,no,purse,no,purse,no,purse,no,purse,no,,,
73,87,117,1,A,Elvis wiggles when he sings because he's got blank.,119,tight pants,an itch,no,ants in his pants,no,hives,no,ants in his pants,no,tight pants,yes,rhythm,no,,,
73,87,117,1,B,"Jack said to his wife, ""This car reminds me of your mother. Old and blank.""",116,wrinkled,noisy,no,wrinkled,yes,battered,no,broken down,no,dilapidated,no,falling apart,no,,,
73,87,117,2,A,"W.C. Fields said, ""My wife's a picky woman. She says I ruined her birthday cake just because I blanked on it.""",119,sat,fell,no,spat,no,spit,no,sat,yes,,,sat,yes,,,
73,87,117,2,B,"When the Godfather's wife served him pizza for breakfast, he blanked her.",116,shot,shot,yes,,,hit,no,kissed,no,shot,yes,kissed,no,,,
73,87,117,tie1,A,"Larry said, ""Aw, come on Phyllis, one little blank won't hurt.""",119,kiss,kiss,yes,kiss,yes,kiss,yes,kiss,yes,kiss,yes,kiss,yes,,,
73,87,117,tie1,B,"George is so rich, he has three houses, three cars, and three blanks.",116,wives,yachts,no,,,,,,,,,,,,,
73,88,118,1,B,"The old gambler warned, ""Never play poker with Raquel. She always keeps a pair of aces in her blank.""",120,bra,bodice,no,cleavage,yes,bra,yes,blouse,no,bra,yes,garter,no,,,
73,88,118,1,A,"If the pilgrims had landed at the North Pole, your mother would spend Thanksgiving stuffing a blank.",119,eskimo,penguin,no,seal,no,penguin,no,penguin,no,penguin,no,penguin,no,,,
73,88,118,2,B,"Nobody knows this, but William Shakespeare did all of his writing in the blank.",120,john,men's room,yes,raw,no,,,nude,no,,,john,yes,,,
73,88,118,2,A,"Here's a poem: Roses are red, violets are blue, the meatloaf you served me tastes exactly like blank.",119,glue,glue,yes,glue,yes,glue,yes,a shoe,no,glue,yes,stew,no,,,
73,88,119,1,B,The Jolly Green Giant's belly button is so big you can blank in it.,121,swim,sleep,no,make soup,no,hide,no,swim,yes,sit,no,sit,no,,,
73,89,119,1,A,"Batman said to Robin, ""Please don't ever tell anyone I wear blank.""",120,pantyhose,longies,no,lace underwear,no,lace panties,no,pantyhose,yes,lipstick,no,false teeth,no,,,
73,89,119,2,B,"Myron said, ""I was at Lawrence Welk's house the other night, and I actually saw bubbles coming out of his blank.""",121,ears,bathroom,no,instrument,no,navel,no,,,bathroom,no,swimming pool,no,,,
73,89,119,2,A,"Well Mr. Dillon, the reason I limp is because I got my foot stuck in a blank.",120,door,cuspidor,no,sawhorse,no,urinal,no,,,bucket,no,gopher hole,no,,,
73,89,119,tie1,B,Steve was surprised when Stella got blank sooner than he expected.,121,pregnant,pregnant,yes,pregnant,yes,pregnant,yes,home,no,home,no,drunk,no,,,
73,89,119,tie1,A,Only his hairdresser knows for sure that Melvin is blank.,120,bald,bald,yes,blonde,no,a girl,no,bald,yes,gray,no,bald,yes,,,
73,89,119,tie2,B,The rumor was all over the circus. The fat lady was going to marry the blank.,121,skinny man,thin man,yes,midget,no,thin man,yes,thin man,yes,thin man,yes,snake charmer,no,,,
73,89,119,tie2,A,"Helen said to her husband, ""I don't care what you say. I think we should have separate blanks.""",120,beds,beds,yes,bedrooms,no,rooms,no,checkbooks,no,,,,,,,
73,90,120,1,B,"Dr. Jekyll has a new potion. Instead of turning into Mr. Hyde, he turns into blank.",122,cinderella,mrs. hyde,no,a fag,no,pumpkin,no,mrs. hyde,no,mrs. hyde,no,a girl,no,,,
73,90,120,1,A,"The pretty nurse said to the surgeon, ""Doctor, I really don't think you should blank while you're operating.""",121,smoke,whistle,no,smoke,yes,eat,no,flirt,no,smoke,yes,drink,no,,,
73,90,120,2,A,"Jonah said, ""It's terrible living inside this whale. If I don't sit perfectly still, he blanks.""",122,moves,hiccups,no,drowns me,no,belches,no,burps,no,hiccups,no,,,,,
73,90,121,1,A,Henry Kissinger's dog only follows blanks.,123,girls,dachshunds,no,presidents,no,girl dogs and nixon,no,orders,no,girls,yes,girls,yes,,,
73,90,121,1,B,"When King Kong went to the masquerade party, he painted himself bright yellow and pretended he was a giant blank.",121,yellow kangaroo,banana,no,ear of corn,no,banana,no,banana,no,banana,no,canary,no,,,
73,91,121,2,B,"One spy said to another, ""Beware of Lola. One of her blanks is really a camera.""",123,boobs,beads,no,ears,no,pecs,yes,rings,no,,,,,,,
73,91,121,2,A,"Dr. Pasteur shouted, ""Pierre, come quickly to the microscope! These two germs are blanking.""",121,making love,germinating,yes,mating,yes,kissing,no,kissing,no,breeding,yes,multiplying,yes,,,
73,91,122,1,B,"Because of the meat shortage, Archie Bunker no longer calls his son-in-law meat head. Now he calls him blank head.",124,pig,pin,no,fish,no,knuckle,no,egg,no,veg,no,pin,no,,,
73,91,122,1,A,"Harry said, ""The trouble with being on a chain gang is that it's so hard to blank with a ball on.""",121,walk,walk,yes,fool around,no,walk,yes,play,no,attend to nature's call,no,run,no,,,
73,91,122,2,B,Bertha's blank smells like a brewery.,124,breath,breath,yes,breath,yes,breath,yes,breath,yes,breath,yes,breath,yes,,,
73,92,122,2,A,"After forty years together, Mickey Mouse blanked Donald Duck.",121,quit,,,fired,yes,,,kissed,no,,,,,,,
73,92,123,1,A,Everything King Midas touched turned to gold. So his wife has a solid gold blank.,125,body,cadillac,no,plant,no,fern,no,body,yes,body,yes,body,yes,,,
73,92,123,1,B,Albert got so fat that the tattoo of Raquel Welch on his belly has turned into a tattoo of blank.,124,mama cass,two mt baldies,no,an enormous navel,no,a blimp,no,mount rushmore,no,sydney greenstreet,no,jolly green giantess,no,,,
73,92,123,2,A,"After learning that William Tell shot an apple off his son's head, Crazy Charlie tried to shoot a blank off his wife's nose.",125,peanut,orange,no,grape,no,wart,no,,,,,,,,,
73,92,123,2,B,"Wyatt Earp said, ""This town needs some women. I just saw a cowboy dancing with blank.""",124,a horse,his horse,yes,his horse,yes,his horse,yes,his horse,yes,the bartender,no,his horse,yes,,,
73,93,124,1,B,"Methuselah's wife said, ""My husband really is 900 years old. Just look at his blank.""",126,whiskers,birth certificate,no,beard,yes,face,no,wrinkles,no,wrinkles,no,body,no,,,
73,93,124,1,A,"Robert wrote his poem to his wife: ""There is blue in the sky and red in the flag. I can't stand your mother, she's really a blank.""",124,nag,drag,no,drag,no,nag,yes,hag,no,hag,no,bag,no,,,
73,93,124,2,B,"On the jungle safari, after the giant man-eating plant ate Marcia's husband, it blanked.",126,burped,puked,no,,,barfed,no,threw up,no,burped,yes,burped,yes,,,
73,93,124,2,A,"The cabbie said, ""I picked up Zsa Zsa right after her last wedding, and she left her blank in my backseat.""",124,bra,bouquet,no,innocence,no,,,bouquet,no,wash and wear wedding gown,no,,,,,
73,94,125,1,A,"Baby Bear said, ""Goldilocks may have been sleeping in your bed, but she was blanking in my bed.""",127,making love,burping,no,funning,no,wetting,no,fooling around,no,staying over,no,eating crackers,no,,,
73,94,125,1,B,King Arthur tamed a fire-breathing dragon and now he uses it as a blank.,126,lighter,sword,no,furnace,no,cigar lighter,yes,bed warmer,no,cigarette lighter,yes,heater,no,,,
73,94,125,2,A,"The exotic dancer said, ""How do you expect me to do my act with only one blank?""",127,navel,tassel,no,boa,no,boob,no,leg,no,fan,no,,,,,
